Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Michael Helman,24605,30,TEX,0.25,0.323,0.179,0.086,0.247,0.191,0.064,0.247,0.123,106.0,0.116,0.373,0.573,0.593,8.2,4.7,20.0,18.0,3.36,0.232,0.29,0.455,0.319,110,660.0
Austin Hedges,12976,33,CLE,0.2499,0.2852,0.1878,0.0265,0.3047,0.2334,0.0837,0.1984,0.1377,42.7664,0.0661,0.3386,0.4726,0.4952,2.1578,3.719,14.381,15.084,0.821,0.167,0.245,0.26,0.229,201,662.0
Garrett Stubbs,18067,32,PHI,0.249,0.24,0.192,0.0,0.095,0.267,0.091,0.289,0.11,61.0,0.023,0.299,0.411,0.435,6.1,0.9,11.0,18.0,3.8,0.207,0.296,0.262,0.258,187,663.5
Adam Engel,15082,31,CHW,0.249,0.293,0.22,0.018,0.331,0.292,0.042,0.317,0.147,63.0,0.03,0.393,0.393,0.414,6.8,1.84,17.0,32.0,9.6,0.224,0.269,0.31,0.256,260,663.5
Ryan Ritter,31500,25,COL,0.248,0.276,0.211,0.015,0.305,0.295,0.048,0.349,0.18,64.0,0.031,0.512,0.26,0.443,6.6,0.98,18.0,22.0,3.0,0.241,0.296,0.337,0.28,207,665.0
Alex Jackson,17276,30,BAL,0.2474,0.3148,0.1578,0.12,0.3632,0.3562,0.0633,0.2376,0.1828,70.6508,0.1401,0.3857,0.4686,0.4251,3.5349,3.775,9.968,17.0,0.413,0.172,0.246,0.357,0.265,121,666.0
Kameron Misner,26374,28,TBR,0.247,0.299,0.191,0.053,0.298,0.318,0.074,0.296,0.155,71.0,0.098,0.433,0.402,0.389,6.8,4.9,22.0,27.0,7.36,0.213,0.273,0.345,0.272,217,668.0
Sergio Alcantara,16417,26,- - -,0.247,0.297,0.209,0.019,0.325,0.254,0.054,0.267,0.092,70.0,0.107,0.43,0.371,0.409,3.8,5.94,29.0,26.0,1.0,0.22,0.261,0.356,0.269,224,668.0
Aristides Aquino,15482,29,CIN,0.247,0.327,0.182,0.082,0.342,0.366,0.062,0.277,0.2,63.0,0.145,0.38,0.437,0.506,2.1,9.6,30.0,24.0,1.76,0.197,0.246,0.363,0.267,276,668.0
Michael Siani,22557,25,STL,0.246,0.27,0.204,0.023,0.225,0.275,0.063,0.322,0.126,64.0,0.04,0.571,0.255,0.362,7.5,1.96,20.0,42.0,20.0,0.228,0.285,0.285,0.257,334,670.5
Robinson Chirinos,3142,39,BAL,0.246,0.291,0.165,0.069,0.331,0.305,0.086,0.248,0.159,62.0,0.075,0.402,0.417,0.515,1.6,3.04,22.0,10.0,0.6,0.179,0.265,0.287,0.251,220,670.5
Trey Sweeney,29575,26,DET,0.244,0.294,0.19,0.067,0.351,0.282,0.08,0.257,0.13,53.0,0.072,0.462,0.399,0.423,4.8,5.94,32.0,36.0,3.0,0.196,0.258,0.291,0.245,326,672.5
Tucker Barnhart,10200,32,DET,0.244,0.268,0.2,0.019,0.26,0.24,0.081,0.296,0.089,63.0,0.016,0.534,0.304,0.365,0.6,0.9,16.0,16.0,0.0,0.221,0.287,0.267,0.253,308,672.5
Yanquiel Fernandez,28552,23,COL,0.243,0.309,0.19,0.084,0.368,0.299,0.054,0.297,0.153,55.0,0.121,0.516,0.347,0.505,1.1,3.84,11.0,13.0,0.0,0.225,0.265,0.348,0.268,147,674.0
Kevin Smith,20242,26,OAK,0.24,0.334,0.184,0.078,0.333,0.278,0.046,0.237,0.147,46.0,0.044,0.408,0.459,0.343,6.1,1.98,13.0,9.0,4.0,0.18,0.216,0.302,0.226,151,675.0
Hanser Alberto,11902,30,LAD,0.239,0.316,0.216,0.015,0.183,0.157,0.019,0.279,0.154,73.0,0.044,0.488,0.354,0.466,3.6,1.88,15.0,13.0,0.0,0.244,0.258,0.365,0.27,159,676.0
Jose Herrera,17040,29,ARI,0.237,0.225,0.169,0.008,0.226,0.23,0.113,0.242,0.075,57.0,0.038,0.397,0.438,0.391,1.8,1.92,17.0,21.0,0.0,0.187,0.285,0.259,0.251,204,677.0
Mickey Gasper,24759,30,MIN,0.236,0.241,0.167,0.013,0.312,0.182,0.091,0.176,0.062,42.0,0.056,0.408,0.474,0.338,5.5,1.88,11.0,15.0,1.68,0.158,0.257,0.232,0.229,110,678.0
Carson Williams,30038,23,TBR,0.235,0.317,0.171,0.089,0.357,0.415,0.057,0.24,0.181,54.0,0.313,0.582,0.291,0.482,4.0,4.8,12.0,11.0,2.0,0.172,0.219,0.354,0.248,106,679.0
Lorenzo Cain,9077,37,MIL,0.234,0.26,0.201,0.0,0.364,0.231,0.051,0.229,0.12,32.0,0.032,0.591,0.282,0.364,4.1,0.8,9.0,17.0,1.2,0.179,0.231,0.234,0.212,156,680.0
Alan Roden,31564,26,- - -,0.227,0.242,0.176,0.02,0.304,0.242,0.052,0.24,0.105,56.0,0.067,0.584,0.297,0.431,4.9,1.98,9.0,17.0,1.0,0.191,0.261,0.294,0.249,153,681.0
Brett Phillips,14735,29,- - -,0.226,0.26,0.159,0.045,0.295,0.418,0.071,0.233,0.155,37.0,0.106,0.321,0.443,0.473,5.9,4.8,15.0,22.0,6.16,0.144,0.217,0.249,0.213,225,682.0
Matt Mervis,27845,28,MIA,0.223,0.266,0.145,0.085,0.38,0.373,0.082,0.219,0.196,72.0,0.2,0.366,0.493,0.507,1.5,6.86,14.0,15.0,0.0,0.175,0.254,0.383,0.274,134,683.5
Lewin Diaz,18365,26,MIA,0.223,0.27,0.166,0.056,0.287,0.31,0.063,0.214,0.111,40.0,0.1,0.37,0.463,0.454,2.4,4.95,11.0,12.0,1.0,0.169,0.224,0.288,0.228,174,683.5
Bryce Teodosio,29524,27,LAA,0.222,0.259,0.185,0.043,0.266,0.313,0.033,0.293,0.211,51.0,0.03,0.444,0.367,0.383,7.9,1.0,7.0,12.0,6.72,0.203,0.248,0.304,0.243,150,685.0
Zach Remillard,19788,30,CHW,0.219,0.244,0.199,0.01,0.204,0.3,0.05,0.367,0.142,68.0,0.036,0.516,0.301,0.408,3.8,0.94,18.0,16.0,3.36,0.252,0.295,0.32,0.27,160,686.0
Bubba Thompson,22261,25,TEX,0.212,0.248,0.179,0.017,0.216,0.309,0.039,0.389,0.176,76.0,0.03,0.55,0.33,0.422,6.0,0.98,9.0,18.0,18.0,0.265,0.302,0.312,0.274,181,687.0
Vinny Capra,25040,29,- - -,0.211,0.256,0.178,0.026,0.329,0.238,0.029,0.153,0.102,-11.0,0.038,0.514,0.361,0.447,5.9,0.96,6.0,10.0,1.76,0.125,0.157,0.177,0.15,105,688.0
Jose Barrero,23378,25,CIN,0.185,0.222,0.142,0.022,0.348,0.437,0.052,0.264,0.203,6.0,0.053,0.398,0.432,0.393,4.5,1.96,10.0,13.0,4.0,0.152,0.195,0.206,0.183,174,689.0
